AGLNOW1,-34.881977999999947 150.55148500000007
BALDHWF1,-38.7908 145.9277
BARCALDN,-23.552451999999903 145.31418600000006
BBTHREE1,-41.141944 146.9025
BBTHREE2,-41.141944 146.9025
BBTHREE3,-41.141944 146.9025
BLNKTAS,-41.042222 146.868611
BLNKVIC,-38.406111 147.068333
BLUFF1,-33.369330999999931 138.98247600000002
BOLIVAR1,-34.76995 138.58315
BROKENH1,-31.9887 141.3846
CBWF1,-36.436 143.362
CESF1,-35.2018 149.5083
CONDONG1,-28.313801999999953 153.43411000000003
DARTM1,-36.556428999999923 147.52058
GLENMAG1,-37.904744999999934 146.80108500000006
GULLRWF1,-34.614456 149.459531
HEPWIND1,-37.425 144.12
JNDABNE1,-36.435149999999908 148.63325000000009
KEEPIT,-30.87918899999994 150.491399
KINCUM1,-33.477324 151.402636
MCKAY1,-36.805460999999923 147.22803400000009
MERCER01,-37.841111 143.871111
MIDLDPS1,-42.11423 147.30917
MLWF1,-37.835 142.45
MOREESF1,-29.569 149.867
NBHWF1,-33.25257599999992 138.71228900000006
NYNGAN1,-31.5569 147.0849
PUMP1,-27.372220999999911 152.63202799999999
PUMP2,-27.372220999999911 152.63202799999999
ROYALLA1,-35.4901 149.1430
RPCG,-27.73368 153.32694
SHEP1,-36.321774999999946 145.37898300000006
STHBKTEC,-27.47511 153.03597
TARALGA1,-34.427076 149.85764
TGNSS1,-38.17909 146.56290
UPPTUMUT,-35.951728999999943 148.36371000000008
WKIEWA2,-36.760065999999938 147.18604800000003
WOYWOY1,-33.504945 151.291944
YABULU,-19.201055999999937 146.61870700000009
YABULU2,-19.201055999999937 146.61870700000009
